,id,name,profile_path_url,popularity,department,gender,known_for
92,1823853,Taliah Webster,/uSxbqtYa4OCsgbQSSmIfvBFUbHw.jpg,12.092,Acting,1,"Good Time, Hair Wolf"
93,10980,Daniel Radcliffe,/k86U9DrYgFh5e5S4UIHTL9InPlC.jpg,12.043,Acting,2,"Harry Potter and the Philosopher's Stone, Harry Potter and the Chamber of Secrets, Harry Potter and the Prisoner of Azkaban"
94,82809,Annabelle Wallis,/3PPqxfznpcBDoiCMOlbamvjKa8U.jpg,12.018,Acting,1,"X-Men: First Class, The Mummy, Annabelle"
95,74568,Chris Hemsworth,/tlkDiLn2G75Xr7m1ybK8QFzZBso.jpg,12.017,Acting,2,"The Avengers, Avengers: Infinity War, Avengers: Age of Ultron"
96,17628,Mary Elizabeth Winstead,/cBMtncBcUrKMTB8CifDG23THuCE.jpg,11.893,Acting,1,"10 Cloverfield Lane, A Good Day to Die Hard, Scott Pilgrim vs. the World"
97,1972706,Jaime Lorente,/nLaxzU92z14FIbe25sE8jDMIThZ.jpg,11.88,Acting,2,"Money Heist, Elite, Everybody Knows"
98,1894505,Walaipech Link Khunthira,/al32bKQdLGyCljkkIVfpAEQJiWC.jpg,11.868,Acting,0,Are You Coming?! - City of Angels
99,54693,Emma Stone,/ayqOHTfxAiaSQZisD3Q4fB6UTjU.jpg,11.741,Acting,1,"The Amazing Spider-Man, La La Land, Birdman or (The Unexpected Virtue of Ignorance)"
100,1341,Donnie Yen,/eSuunsATXBaYTnr7IC4LGBrJ5yY.jpg,11.683,Acting,2,"Rogue One: A Star Wars Story, Blade II, xXx: Return of Xander Cage"
101,2487703,Vanda Lee,,11.602,Acting,1,Ip Man 4: The Finale
102,62,Bruce Willis,/2B7RySy2WMVJKKEFN2XA3IFb8w0.jpg,11.522,Acting,2,"Pulp Fiction, Split, Looper"
103,25702,Rhona Mitra,/5h8c3rhCEJzJr1NAwni1rVAtemE.jpg,11.519,Acting,1,"Shooter, Underworld: Rise of the Lycans, The Number 23"
104,1173223,Danny Chan Kwok-Kwan,/hkHu1Z4EtN47bPwh6PlBIE3Jz76.jpg,11.482,Acting,2,"Kung Fu Hustle, Shaolin Soccer, Ip Man 3"
105,1633339,Irina Starshenbaum,/pMeneYaFRT4u08zUwmfvpo49Wo7.jpg,11.477,Acting,1,"Attraction, T-34, Leto"
